mid_idx,mid_freq,fine_idx,fine_freq,cosine
1096,1545.4102,2808,1620.546964,0.90535873
1101,1624.5117,1000,1611.894887,0.9144681
1135,1624.5117,2163,1619.140106,0.9578517
1143,1624.5117,1705,1622.365843,0.9306095
1146,1627.4414,2550,1545.111889,0.95709515
1152,1545.4102,2581,1620.615321,0.95975876
1160,1545.4087,784,1625.493072,0.9745461
1181,1621.582,2962,1619.213238,0.8782828
1235,1618.6509,2352,1623.27393,0.864168
1239,1621.5806,1587,1622.115509,0.94794756
1243,1624.5117,2014,1624.994287,0.95886344
1244,1618.6523,608,1619.782213,0.87000984
1248,1545.4102,1338,1621.419732,0.96587586
1252,1627.4414,2590,1626.077419,0.9432916
1277,1627.4414,1593,1626.103079,0.9379421
1297,1621.582,1642,1618.925229,0.912418
1308,1621.582,2235,1625.608758,0.98532
1309,1545.4087,1053,1624.342506,0.98288697
1312,1624.5103,2650,1624.039091,0.8828157
1318,1624.5117,1682,1626.994897,0.9545533
1322,1621.582,404,1623.30824,0.88363665
1327,1621.582,477,1625.859277,0.97975785
1332,1621.582,292,1618.230147,0.93710387
1338,1618.6509,2211,1626.439649,0.9405979
1339,1545.4102,108,1625.450232,0.94017094
1353,1545.4102,334,1618.055935,0.92571115
1357,1624.5117,2198,1615.412439,0.9792934
1358,1627.4414,80,1618.22176,0.92715245
1363,1624.5117,2582,1622.836875,0.8989549
1368,1621.5806,2276,1621.909428,0.9781172
1373,1618.6523,2139,1620.887325,0.97249585
1389,1618.6509,1267,1620.536171,0.94528896
1390,1624.5117,1495,1618.148054,0.8953271
1403,1624.5117,1388,1621.232992,0.90209615
1406,1545.4102,1389,1623.379064,0.89960545
1416,1621.582,1784,1619.32008,0.98746014
1445,1624.5117,2036,1545.377344,0.9632782
1462,1618.6523,115,1620.692309,0.98073834
1470,1627.4414,2940,1626.096116,0.9756977
1477,1624.5103,129,1616.879205,0.96682715
1481,1615.7227,762,1623.035177,0.95388484
1494,1621.582,1889,1619.933001,0.89761424
1506,1618.6523,1863,1621.922282,0.936169
1512,1618.6523,685,1620.169024,0.94960314
1531,1624.5117,310,1618.204627,0.89713335
1533,1618.6509,2098,1621.911842,0.9569816
1534,1545.4102,2093,1618.085993,0.97790927
1536,1621.582,323,1618.493409,0.943837
1539,1545.4102,307,1622.036149,0.9545615
1544,1624.5117,2325,1621.097982,0.93531835
1552,1618.6523,924,1621.899419,0.9274313
1564,1624.5117,1216,1618.977718,0.8509008
1580,1618.6523,2423,1626.425106,0.9812992
1584,1618.6523,1473,1622.190985,0.9774892
1589,1621.5806,220,1618.258048,0.86057633
1596,1615.7227,1946,1625.304775,0.9314764
1608,1618.6523,1146,1622.938779,0.971922
1622,1621.582,467,1620.523942,0.9323575
1630,1624.5117,2857,1618.029278,0.7710181
1635,1545.4102,1931,1619.770241,0.8855362
1636,1621.582,1634,1545.649742,0.9576423
1639,1618.6523,757,1623.037378,0.9871164
1640,1624.5103,1702,1622.620155,0.85844624
1649,1545.4102,26,1622.05911,0.939104
1650,1612.793,1997,1621.844633,0.88703346
1677,1545.4102,921,1619.41453,0.92890793
1683,1545.4102,832,1619.661908,0.9203654
1689,1618.6523,1945,1618.034919,0.99449474
1698,1618.6509,1199,1620.297446,0.9835522
